avg_words_per_sentence,avg_sentence_len,avg_word_len,avg_syllable_per_word
7.0,64.0,9.142857142857142,3.4285714285714284
7.0,42.0,6.0,2.2857142857142856
4.0,33.5,8.375,3.0
8.0,48.0,6.0,2.25
7.0,56.0,8.0,3.0
6.0,36.0,6.0,2.1666666666666665
7.0,33.0,4.714285714285714,1.7142857142857142
8.0,47.0,5.875,2.125
5.0,25.0,5.0,1.6
5.0,42.0,8.4,3.2
8.0,42.0,5.25,1.875
4.0,28.0,7.0,2.0
5.0,31.0,6.2,2.4
5.0,39.0,7.8,3.0
3.0,18.0,6.0,2.3333333333333335
4.0,28.0,7.0,2.5
13.0,64.0,4.923076923076923,1.7692307692307692
5.0,28.0,5.6,2.2
6.0,48.0,8.0,2.6666666666666665
3.0,10.0,3.3333333333333335,1.3333333333333333
5.0,28.0,5.6,2.0
7.0,40.0,5.714285714285714,2.4285714285714284
9.0,49.0,5.444444444444445,2.3333333333333335
5.0,30.0,6.0,2.2
10.0,54.0,5.4,1.9
6.0,52.0,8.666666666666666,3.1666666666666665
12.0,57.0,4.75,1.8333333333333333
6.0,31.0,5.166666666666667,1.8333333333333333
5.0,24.0,4.8,1.6
13.0,57.0,4.384615384615385,1.6153846153846154
4.0,21.0,5.25,2.5
5.0,19.0,3.8,1.4
6.0,37.0,6.166666666666667,2.3333333333333335
5.0,24.0,4.8,1.8
7.0,30.0,4.285714285714286,1.5714285714285714
5.0,32.0,6.4,2.2
11.0,60.0,5.454545454545454,2.0
4.0,21.0,5.25,1.75
4.0,19.0,4.75,2.0
11.0,53.0,4.818181818181818,1.8181818181818181
5.0,34.0,6.8,2.6
7.0,56.0,8.0,2.857142857142857
4.0,31.0,7.75,3.0
6.0,27.0,4.5,1.5
8.0,57.0,7.125,2.75
5.0,30.0,6.0,2.4
9.0,71.0,7.888888888888889,2.888888888888889
7.0,36.0,5.142857142857143,1.8571428571428572
5.0,31.0,6.2,2.2
5.0,35.0,7.0,3.0
10.0,45.0,4.5,1.7
5.0,30.0,6.0,2.2
5.0,29.0,5.8,2.0
7.0,43.0,6.142857142857143,2.142857142857143
5.0,26.0,5.2,2.0
5.0,35.0,7.0,2.0
9.0,49.0,5.444444444444445,2.111111111111111
5.0,35.0,7.0,2.6
5.0,31.0,6.2,2.2
7.0,46.0,6.571428571428571,3.0
6.0,34.0,5.666666666666667,2.1666666666666665
6.0,23.0,3.8333333333333335,1.5
11.0,72.0,6.545454545454546,2.6363636363636362
5.5,31.5,5.7272727272727275,2.1818181818181817
6.0,37.0,6.166666666666667,2.6666666666666665
5.0,29.5,5.9,2.1
7.0,31.0,4.428571428571429,2.0
4.0,27.0,6.75,2.75
4.0,25.0,6.25,2.25
11.0,66.0,6.0,2.272727272727273
8.0,38.0,4.75,2.0
7.0,35.0,5.0,2.142857142857143
5.0,29.0,5.8,2.0
10.0,58.0,5.8,2.3
5.0,30.0,6.0,2.2
5.0,41.0,8.2,3.0
8.0,50.0,6.25,2.375
7.0,39.0,5.571428571428571,2.0
6.0,40.5,6.75,2.25
7.0,39.0,5.571428571428571,2.142857142857143
